=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
identical                         1.000000    0.301030    0.053173          1, 15
imagine                           0.000000    0.301030    0.000000            N/A
important                         0.000000    0.301030    0.000000            N/A
interruptions                     0.000000    0.301030    0.000000            N/A
invisible                         1.000000    0.301030    0.053173          6, 62
jot                               1.000000    0.301030    0.053173          0, 65
judgment                          1.000000    0.000000    0.053173         11, 47
jump                              0.000000    0.301030    0.000000            N/A
kind                              1.301030    0.000000    0.069180          8, 32
laid                              0.000000    0.301030    0.000000            N/A
lake                              1.903090    0.000000    0.101193          0, 15
land                              1.000000    0.000000    0.053173           9, 2
lap                               0.000000    0.301030    0.000000            N/A
layer                             1.000000    0.301030    0.053173          8, 20
lead                              1.000000    0.301030    0.053173           1, 2
leapt                             1.000000    0.301030    0.053173           7, 6
learn                             1.000000    0.000000    0.053173          8, 24
leave                             1.477121    0.000000    0.078543          1, 57
life                              1.602060    0.000000    0.085186          3, 92
lift                              1.000000    0.000000    0.053173          9, 40
light                             1.000000    0.000000    0.053173          6, 41
lighter                           1.000000    0.000000    0.053173         14, 29
lingered                          1.000000    0.301030    0.053173          2, 58
lock                              1.000000    0.301030    0.053173         13, 43
long                              1.301030    0.000000    0.069180          3, 59
longer                            1.000000    0.301030    0.053173          3, 64
lose                              0.000000    0.301030    0.000000            N/A
loud                              0.000000    0.301030    0.000000            N/A
mattered                          1.000000    0.301030    0.053173         12, 48
meadow                            1.477121    0.301030    0.078543          2, 18
measure                           1.000000    0.000000    0.053173         11, 31
mesomething                       0.000000    0.301030    0.000000            N/A
middle                            1.000000    0.301030    0.053173          8, 38
mind                              1.000000    0.000000    0.053173          6, 21
minutes                           0.000000    0.301030    0.000000            N/A
mirror                            1.000000    0.000000    0.053173          3, 44
moment                            1.477121    0.000000    0.078543          4, 53
moments                           1.000000    0.000000    0.053173          2, 62
morning                           1.301030    0.000000    0.069180           0, 1
motion                            1.000000    0.301030    0.053173          6, 36
move                              1.602060    0.000000    0.085186          1, 45
movement                          1.000000    0.301030    0.053173          4, 47
narrow                            1.000000    0.000000    0.053173           2, 8
night                             1.000000    0.000000    0.053173          0, 48
noise                             1.000000    0.000000    0.053173         12, 23
noisy                             1.000000    0.000000    0.053173          8, 11
notebook                          1.602060    0.000000    0.085186          0, 55
notice                            1.477121    0.000000    0.078543          6, 58
ocean                             1.000000    0.000000    0.053173          2, 34
offer                             1.000000    0.301030    0.053173         14, 47
open                              1.301030    0.000000    0.069180          2, 17
