=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
tantos                            0.000000    0.477121    0.000000            N/A
tareas                            0.000000    0.477121    0.000000            N/A
temblaban                         1.000000    0.477121    0.046899          1, 30
temprano                          1.000000    0.477121    0.046899           0, 1
tena                              1.000000    0.176091    0.046899          2, 59
tendido                           1.000000    0.477121    0.046899          3, 42
tenue                             0.000000    0.477121    0.000000            N/A
terminaba                         1.000000    0.477121    0.046899          3, 61
tierra                            1.477121    0.176091    0.069276           2, 8
tocaba                            1.000000    0.477121    0.046899          6, 31
tocado                            0.000000    0.477121    0.000000            N/A
toda                              0.000000    0.477121    0.000000            N/A
todas                             1.000000    0.477121    0.046899          7, 55
tonos                             1.000000    0.477121    0.046899          0, 26
torpeza                           0.000000    0.477121    0.000000            N/A
tranquila                         1.000000    0.477121    0.046899         11, 28
tranquilo                         1.301030    0.477121    0.061018          2, 73
tronco                            0.000000    0.477121    0.000000            N/A
vacar                             1.000000    0.477121    0.046899          7, 36
valioso                           1.000000    0.477121    0.046899         14, 46
vapor                             0.000000    0.477121    0.000000            N/A
vea                               1.000000    0.477121    0.046899         13, 22
veces                             1.301030    0.000000    0.061018           1, 8
velar                             0.000000    0.477121    0.000000            N/A
vena                              1.000000    0.477121    0.046899          4, 57
ventar                            1.000000    0.176091    0.046899          2, 28
ver                               0.000000    0.477121    0.000000            N/A
vereda                            1.000000    0.477121    0.046899           2, 6
verlo                             1.000000    0.477121    0.046899           5, 7
vez                               1.698970    0.176091    0.079681          0, 58
vida                              1.477121    0.000000    0.069276          3, 88
vidas                             0.000000    0.477121    0.000000            N/A
vidrio                            1.000000    0.477121    0.046899          9, 19
vigilantes                        1.000000    0.477121    0.046899          2, 43
visita                            1.000000    0.477121    0.046899         14, 35
vista                             1.000000    0.477121    0.046899          5, 26
visto                             1.000000    0.477121    0.046899         10, 21
volva                             1.000000    0.477121    0.046899           4, 7
volver                            0.000000    0.477121    0.000000            N/A
volvi                             1.000000    0.477121    0.046899           7, 9
vuelo                             1.000000    0.477121    0.046899          9, 32
vuelta                            1.000000    0.477121    0.046899          13, 3
xito                              1.000000    0.477121    0.046899         11, 16
y                                 2.380211    0.000000    0.111630          0, 28
ya                                1.000000    0.176091    0.046899          14, 8
zapatos                           0.000000    0.477121    0.000000            N/A
ése                              1.301030    0.000000    0.061018          3, 71


=========================== documents/esp-02.txt ==========================

Term                                    TF         IDF       TFIDF          Index
------------------------------------------------------------------------------------------
a                                 1.778151    0.000000    0.136012          0, 23
abajo                             0.000000    0.477121    0.000000            N/A
abr                               0.000000    0.477121    0.000000            N/A
abrieron                          0.000000    0.477121    0.000000            N/A
aceptacin                         0.000000    0.477121    0.000000            N/A
agotan                            0.000000    0.477121    0.000000            N/A
agua                              0.000000    0.176091    0.000000            N/A
agujas                            0.000000    0.477121    0.000000            N/A
ah                                0.000000    0.477121    0.000000            N/A
ahora                             0.000000    0.477121    0.000000            N/A
aire                              1.301030    0.000000    0.099516          0, 21
alas                              0.000000    0.477121    0.000000            N/A
algn                              0.000000    0.477121    0.000000            N/A
algo                              1.301030    0.000000    0.099516          2, 41
all                               1.000000    0.176091    0.076490          2, 44
alta                              0.000000    0.477121    0.000000            N/A
altas                             0.000000    0.477121    0.000000            N/A
alto                              1.000000    0.176091    0.076490          1, 23
alz                               0.000000    0.477121    0.000000            N/A
alzaba                            0.000000    0.477121    0.000000            N/A
