=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
normalmente                       1.000000    0.698970    0.046899          6, 59
nostalgia                         0.000000    0.698970    0.000000            N/A
notar                             1.000000    0.698970    0.046899          6, 56
notarlos                          1.000000    0.698970    0.046899         10, 34
nubes                             0.000000    0.698970    0.000000            N/A
nuevo                             1.000000    0.698970    0.046899          1, 17
nunca                             1.000000    0.221849    0.046899          1, 10
o                                 1.301030    0.221849    0.061018           5, 2
obligaba                          1.000000    0.698970    0.046899          4, 32
observ                            0.000000    0.397940    0.000000            N/A
observar                          0.000000    0.698970    0.000000            N/A
observndolo                       0.000000    0.698970    0.000000            N/A
obstinado                         0.000000    0.698970    0.000000            N/A
ocultos                           1.000000    0.698970    0.046899          7, 46
ocupados                          1.000000    0.698970    0.046899          1, 54
ocupar                            1.000000    0.698970    0.046899         10, 32
ojos                              0.000000    0.397940    0.000000            N/A
ola                               1.000000    0.221849    0.046899          4, 18
olas                              1.000000    0.397940    0.046899          2, 25
oleaje                            0.000000    0.698970    0.000000            N/A
ondas                             1.301030    0.698970    0.061018          6, 36
orilla                            1.000000    0.397940    0.046899          5, 12
otra                              0.000000    0.221849    0.000000            N/A
otras                             0.000000    0.698970    0.000000            N/A
otros                             0.000000    0.698970    0.000000            N/A
paciencia                         0.000000    0.698970    0.000000            N/A
palabras                          1.000000    0.698970    0.046899          6, 21
pan                               0.000000    0.698970    0.000000            N/A
pantallas                         0.000000    0.698970    0.000000            N/A
par                               0.000000    0.397940    0.000000            N/A
pareca                            1.477121    0.221849    0.069276          1, 11
parecan                           0.000000    0.698970    0.000000            N/A
parece                            0.000000    0.698970    0.000000            N/A
parecen                           0.000000    0.698970    0.000000            N/A
pareci                            0.000000    0.698970    0.000000            N/A
pared                             0.000000    0.698970    0.000000            N/A
paredes                           0.000000    0.698970    0.000000            N/A
pareja                            0.000000    0.698970    0.000000            N/A
parezca                           0.000000    0.698970    0.000000            N/A
parte                             1.301030    0.397940    0.061018          4, 28
parti                             0.000000    0.698970    0.000000            N/A
particular                        0.000000    0.698970    0.000000            N/A
pasa                              0.000000    0.397940    0.000000            N/A
pasaban                           0.000000    0.698970    0.000000            N/A
pasar                             1.000000    0.698970    0.046899         10, 28
pasara                            1.000000    0.698970    0.046899          6, 60
paseo                             1.000000    0.698970    0.046899          6, 49
paso                              1.477121    0.221849    0.069276          4, 39
pasos                             0.000000    0.397940    0.000000            N/A
pausas                            0.000000    0.698970    0.000000            N/A
paz                               1.000000    0.698970    0.046899         12, 37
peces                             1.000000    0.698970    0.046899          7, 43
pecho                             0.000000    0.698970    0.000000            N/A
ped                               0.000000    0.397940    0.000000            N/A
peda                              1.000000    0.698970    0.046899         11, 10
pedazos                           0.000000    0.698970    0.000000            N/A
pedir                             0.000000    0.698970    0.000000            N/A
pendientes                        0.000000    0.698970    0.000000            N/A
pens                              1.301030    0.000000    0.061018          7, 27
pensaba                           1.000000    0.698970    0.046899          4, 53
pensamientos                      0.000000    0.397940    0.000000            N/A
pensando                          1.000000    0.397940    0.046899          0, 55
pensar                            0.000000    0.698970    0.000000            N/A
pequeas                           1.000000    0.397940    0.046899          7, 57
pequeo                            0.000000    0.397940    0.000000            N/A
pequeos                           1.301030    0.698970    0.061018         10, 23
perderse                          1.000000    0.698970    0.046899          10, 6
perdido                           0.000000    0.698970    0.000000            N/A
perfecto                          0.000000    0.698970    0.000000            N/A
perfectos                         1.000000    0.698970    0.046899          7, 24
peridico                          0.000000    0.698970    0.000000            N/A
permanec                          1.000000    0.698970    0.046899          11, 4
permiso                           0.000000    0.698970    0.000000            N/A
permita                           1.000000    0.698970    0.046899          6, 55
persegua                          0.000000    0.698970    0.000000            N/A
personas                          0.000000    0.397940    0.000000            N/A
pertenece                         0.000000    0.698970    0.000000            N/A
pez                               1.000000    0.698970    0.046899           7, 3
piedra                            0.000000    0.698970    0.000000            N/A
pies                              0.000000    0.397940    0.000000            N/A
pino                              1.000000    0.698970    0.046899          4, 26
pinos                             1.000000    0.698970    0.046899          2, 35
pintando                          1.000000    0.698970    0.046899          0, 22
